atoll,region,seabird_data,lat,long,number_islets,land_area_sqkm,lagoon_area_sqkm,tropical_storms_50km,hurricanes_50km,hurricanes_100km,hurricanes_200km,distance_nearest_atoll_km,nearest_high_island,distance_nearest_high_island_km,distance_continent_km,human_population,annual_precipitation_mm
Kiltan,Lakshadweep,no,11.4803000,73.0017000,1,1.78,,2,2,2,3,34,Sri_Lanka,804,241,4041,
Kiritimati,Central_Pacific,yes,1.8720000,-157.3842085,6,388,,0,0,0,0,295,Hawaii,1885,6126,7380,816
Kolhumadulu,Maldives,no,2.3764000,73.1045000,66,0.71,,0,0,0,0,35,Sri_Lanka,878,784,8493,
Kuop,Carolines,no,7.0496000,151.9280000,2,0.5,,5,1,4,11,85,Chuuk,25,2219,0,
Kure,Hawaii,yes,28.4192965,-178.3299095,2,0.86,,0,1,1,2,90,Kauai,1992,4180,0,1101
Kuria,Gilberts,yes,0.2322690,173.4130160,2,15.47,,0,0,0,0,38,Nauru,730,3522,1046,
Kwajalein,Marshalls,yes,9.3825055,167.0714106,97,16,,4,5,6,9,85,Kosrae,650,3539,1000,2508
Lae,Marshalls,yes,8.9367249,166.2321317,20,1.5,,5,2,4,8,51,Kosrae,528,3399,347,2286
Lamotrek,Carolines,no,7.4921000,146.3187000,3,0.98,,8,2,7,17,16,Chuuk,578,2057,373,
Laualau,East_Papua,no,-1.1265910,144.4933870,6,3.02,,0,0,0,0,8,Manus,250,1075,0,
Laysan,Hawaii,yes,25.7677650,-171.7328000,1,4.11,,2,0,1,1,460,Kauai,1278,4858,0,860
Lib,Marshalls,no,8.3132000,167.3805000,1,0.93,,9,2,4,5,66,Kosrae,581,3463,155,
Likiep,Marshalls,yes,9.9230228,169.0972652,65,10.26,,1,1,1,4,85,Kosrae,847,3717,401,1778
Liot,East_Papua,no,-1.4103000,144.5115000,1,1.27,,0,0,0,0,21,Manus,236,1049,,
Long_Reef,East_Papua,no,-11.1741000,151.5782000,8,3.4,,4,1,1,1,46,Papua,116,789,0,
Losap,Carolines,yes,6.8840000,152.6910000,10,1.33,,7,0,3,8,79,Chuuk,85,2252,448,3400
Lukunor,Carolines,yes,5.5552778,153.7425000,18,2.82,,2,0,0,5,8,Chuuk,272,2191,920,3439
Maalhosmadulu,Maldives,no,5.5827000,72.9493000,88,10.55,,0,0,0,0,17,Sri_Lanka,780,559,14756,
Makunudhoo,Maldives,no,6.3094000,72.6161000,4,0.86,,0,0,0,1,29,Sri_Lanka,802,512,1842,
Maiana,Gilberts,yes,0.9321000,173.0036000,13,16.71,,0,0,0,0,43,Nauru,690,3513,1982,
Majuro,Marshalls,yes,7.0909924,171.3816354,64,9.7,,2,0,1,3,32,Kosrae,920,3750,27797,3349
Makemo,Eastern_Polynesia,no,-16.6180000,-143.6890000,143,56,,0,0,0,0,41,Tahiti,589,6505,824,
Malden,Central_Pacific,yes,-4.0221000,-154.9250000,1,39.3,,0,0,0,0,207,Bora_Bora,1421,6039,0,727
Male,Maldives,no,4.4214000,73.5037000,107,12.92,,1,0,0,0,30,Sri_Lanka,748,582,119137,
Maloelap,Marshalls,no,8.7370000,171.0411000,71,9.8,,3,1,1,3,40,Kosrae,963,3824,682,
Malum,East_Papua,no,-3.1461000,154.4937000,17,,,0,0,0,0,9,New_Ireland,195,1560,0,
Manihi,Eastern_Polynesia,yes,-14.4038000,-145.9477000,105,13,,0,1,1,2,29,Tahiti,501,6388,650,
Manihiki,Eastern_Polynesia,yes,-10.4349377,-160.9958241,43,4,,0,0,0,1,43,Bora_Bora,1199,5136,212,2347
Manra,Central_Pacific,yes,-4.4556000,-171.2444000,1,4.4,,0,0,0,0,98,Samoa,999,4467,0,985
Manuae,Eastern_Polynesia,no,-19.2697000,-158.9441000,2,6.17,,6,2,5,8,459,Rarotonga,230,4903,0,
Manuhangi,Eastern_Polynesia,yes,-19.2011000,-141.2441,20,3.75,,0,0,0,2,55,Mangareva,778,6629,0,
Marakei,Gilberts,yes,2.0014000,173.2765000,2,14.13,,0,0,0,0,34,Nauru,755,3615,2799,
Maria,Eastern_Polynesia,yes,-21.8108390,-154.7053090,4,1.9,,2,0,1,3,520,Rarotonga,523,5246,0,1894
Maria_Est,Eastern_Polynesia,yes,-22.0160000,-136.1892,17,3.75,,0,0,0,1,60,Mangareva,171,7003,0,
Marokau,Eastern_Polynesia,no,-18.0605000,-142.2658,58,14.7,,0,0,0,0,13,Tahiti,726,6586,91,
Marutea_Nord,Eastern_Polynesia,no,-17.0245000,-143.1548000,35,2.7,,0,0,0,0,42,Tahiti,638,6541,0,
Marutea_Sud,Eastern_Polynesia,yes,-21.5207000,-135.5566,66,12,,3,1,1,1,82,Mangareva,183,7083,245,
Mataiva,Eastern_Polynesia,yes,-14.8831000,-148.6738000,12,25,,0,2,2,3,43,Tahiti,301,6100,280,
Matureivavao,Eastern_Polynesia,yes,-21.4721000,-136.3935000,26,2.5,,2,0,1,3,18,Mangareva,232,6992,0,1658
Maupihaa,Eastern_Polynesia,yes,-16.8098000,-153.9555000,11,2.6,,2,2,3,4,75,Maupiti,185,5526,10,1846
McKean,Central_Pacific,yes,-3.5954000,-174.1229000,1,0.57,,0,0,0,0,126,Samoa,1106,4413,0,659
Meemu,Maldives,no,2.9917000,73.5007000,33,3.31,,0,0,0,0,24,Sri_Lanka,809,706,4705,
Midway,Hawaii,yes,28.2417536,-177.3754308,3,6.27,,1,2,2,2,90,Kauai,1895,4243,0,1101
Miladhunmadulu,Maldives,no,5.9665000,73.2404000,71,22.8,,1,0,0,1,31,Sri_Lanka,741,483,16237,
Mili,Marshalls,yes,6.1310000,171.9422000,92,14.9,,1,0,0,2,92,Kosrae,988,3745,738,
Minicoy,Lakshadweep,no,8.2958000,73.0451000,1,4.8,,0,1,3,3,13,Sri_Lanka,742,383,10700,
Mokil,Carolines,yes,6.6816046,159.7562970,3,1.41,,4,1,3,6,114,Pohnpei,155,2714,200,2921
Morane,Eastern_Polynesia,yes,-23.1569000,-137.1332780,19,2.85,,2,1,1,2,155,Mangareva,211,6866,0,1658
Moruroa,Eastern_Polynesia,yes,-21.8347000,-138.8842000,93,15,,1,1,1,2,42,Mangareva,423,6748,0,1613
Motu_One,Eastern_Polynesia,yes,-15.8143000,-154.5224000,6,2.83,,2,3,3,4,74,Maupiti,247,5485,0,
Motutunga,Eastern_Polynesia,no,-17.1036000,-144.3686000,10,2.5,,1,0,0,2,26,Tahiti,509,6419,0,
Murilo,Carolines,no,8.6790000,152.2321000,11,1.27,,10,6,10,22,27,Chuuk,138,2388,1000,3000
Namoluk,Carolines,yes,5.9322222,153.1344444,5,1.37,,3,1,2,5,56,Chuuk,204,2187,407,3400
Namonuito,Carolines,no,8.9893699,150.1225296,12,4.5,,13,6,12,28,129,Chuuk,224,2285,1341,3000
Namorik,Marshalls,no,5.6137000,168.1155000,2,2.8,,4,1,2,4,119,Kosrae,563,3357,508,
Namu,Marshalls,yes,7.9867000,168.1679000,51,6.27,,7,3,4,7,72,Kosrae,638,3510,780,
Nanumanga,Tuvalu,no,-6.2885000,176.3202000,1,3,,1,0,0,0,67,Wallis,1066,3518,491,
Nanumea,Tuvalu,no,-5.6612000,176.1035000,2,3.9,,0,0,0,0,67,Wallis,1136,3303,512,
Napuka,Eastern_Polynesia,yes,-14.1726000,-141.2310000,18,8,,0,0,0,1,185,Fatu_Iva,489,6859,234,
Nengonengo,Eastern_Polynesia,yes,-18.7518000,-141.8072,24,9,,0,0,0,0,61,Tahiti,777,6600,54,
Ngcheangel,Carolines,yes,8.0869300,134.7195900,4,1.39,,9,3,7,24,12,Palau,34,2138,54,3810
Ngulu,Carolines,no,8.4507000,137.4544000,9,0.4,,16,9,20,31,280,Palau,323,2190,26,
Niau,Eastern_Polynesia,yes,-16.1530174,-146.3557281,1,20,,1,0,1,3,33,Tahiti,352,6276,226,1650
Nihiru,Eastern_Polynesia,no,-16.6922000,-142.8347000,33,20,,0,0,0,0,36,Tahiti,679,6588,11,
Nikumaroro,Central_Pacific,yes,-4.6764000,-174.5185000,1,3.98,,0,0,0,0,126,Samoa,991,4165,0,1319
Nikunau,Gilberts,no,-1.3475000,176.4512000,1,19.38,,0,0,0,0,46,Nauru,1059,3639,1789,
Ninigo,East_Papua,yes,-1.3121000,144.2766000,31,,,0,0,0,0,77,Manus,262,1063,2400,
Niutao,Tuvalu,yes,-6.1087000,177.3418000,1,2.53,,1,0,0,0,121,Rotuma,703,3381,582,2886
Nomwin,Carolines,no,8.5410640,151.7737010,12,1.52,,10,3,10,22,27,Chuuk,119,2366,1000,3000
Nonouti,Gilberts,yes,-0.6534000,174.3477000,15,21.02,,0,0,0,0,61,Nauru,820,3531,2792,
Nuguria,East_Papua,yes,-3.3195000,154.6854000,29,20,,0,0,0,0,21,New_Ireland,203,1566,50,
Nui,Tuvalu,no,-7.2258000,177.1546000,21,3.37,,0,0,0,0,153,Rotuma,581,3272,610,3304
Nukapu,East_Papua,yes,-10.0906000,166.0389000,1,0.7,,2,0,0,3,13,Nendo,62,2180,100,
Nukufetau,Tuvalu,no,-7.9942000,178.3778000,33,3.14,,0,0,0,1,63,Wallis,786,3323,597,
Nukulaelae,Tuvalu,yes,-9.3872000,179.8424000,15,1.97,,4,2,3,5,116,Rotuma,455,3433,300,3039
Nukumanu,East_Papua,yes,-4.5429000,159.3974000,22,4.6,,0,0,0,0,52,Choiseul,368,1926,730,
Nukunonu,Central_Pacific,yes,-9.1946700,-171.8549752,30,5.5,,0,0,1,2,64,Samoa,477,4141,448,2529
Nukuoro,Carolines,yes,3.8478000,154.9414000,40,1.7,,1,0,0,1,211,Pohnpei,483,2126,372,
Nukutepipi,Eastern_Polynesia,yes,-20.7045000,-143.0520000,4,2.3,,0,1,1,3,24,Tahiti,712,6404,0,1693
Numa_Miombilou,East_Papua,yes,-10.2280000,166.2353000,4,6.12,,1,0,0,3,26,Nendo,51,2143,5600,
Nupani,East_Papua,yes,-10.0834000,165.7290000,2,0.21,,3,0,0,4,34,Nendo,66,2101,100,4000
Oeno,Eastern_Polynesia,yes,-23.9256146,-130.7288579,2,0.69,,1,0,0,0,384,Pitcairn,140,7423,0,1801
Olimarao,Carolines,no,7.6901000,145.8716000,2,0.2,,8,4,6,18,37,Chuuk,628,2065,0,
Onotoa,Gilberts,yes,-1.8860500,175.5663300,3,15.62,,0,0,0,0,64,Nauru,968,3528,1393,1639
Ontong_Java,East_Papua,yes,-5.3490000,159.3282000,122,12,,0,0,0,0,74,Santa_Isabel,265,1862,2085,3200
Oroluk,Carolines,yes,7.5207959,155.2777433,1,0.13,,6,2,5,9,123,Pohnpei,318,2464,0,4100
Orona,Central_Pacific,yes,-4.5118000,-172.1798000,35,3.9,,0,0,0,0,101,Samoa,986,4386,0,1171
Ouvéa,Coral_Sea,yes,-20.5686000,166.4243000,31,132.1,,15,6,9,28,32,New_Caledonia,111,1481,340,1250
Pakin,Carolines,yes,7.0704589,157.8051074,21,1.09,,2,2,3,7,29,Pohnpei,37,2594,100,4770
Palmerston,Eastern_Polynesia,yes,-18.0474000,-163.1548000,12,2.6,,7,1,3,8,460,Rarotonga,494,4541,57,
Palmyra,Central_Pacific,yes,5.8822040,-162.0748745,20,11.9,,1,0,0,1,227,Hawaii,1599,6002,0,4442
Paraoa,Eastern_Polynesia,yes,-19.1365000,-140.69,10,4,,0,0,0,2,57,Mangareva,737,6690,0,
Pearl_and_Hermes,Hawaii,yes,27.8730000,-175.8354000,7,0.32,,0,1,1,3,149,Kauai,1742,4401,0,1082
Peremul_Par,Lakshadweep,yes,11.1499000,72.0609000,3,0.02,,2,1,1,6,29,Sri_Lanka,886,353,0,
Peros_Banhos,Western_Indian_Ocean,yes,-5.3542000,71.8489000,32,9.6,,1,0,0,0,37,Sri_Lanka,1557,1604,0,
Pinaki,Eastern_Polynesia,yes,-19.3949000,-138.6751,1,1.3,,0,2,2,3,55,Mangareva,560,6874,0,
Pingelap,Carolines,yes,6.2147306,160.6991088,3,1.8,,6,0,2,4,115,Pohnpei,264,2746,250,3719
Pinipel,East_Papua,no,-4.4000000,154.1201000,3,6.61,,0,0,0,0,8,New_Ireland,111,1452,901,
Pukapuka,Eastern_Polynesia,yes,-10.8858000,-165.8534000,3,3,,0,1,1,4,87,Samoa,632,4617,425,
Puka-Puka,Eastern_Polynesia,yes,-14.8176000,-138.8167000,21,5,,0,1,1,2,186,Fatu_Iva,470,7067,163,
Pukarua,Eastern_Polynesia,yes,-18.3159000,-137.0181,43,7,,0,0,0,2,61,Mangareva,569,7081,227,
Pulap,Carolines,no,7.5901000,149.4220000,3,0.99,,9,3,6,13,34,Chuuk,235,2157,1270,
Pulusuk,Carolines,no,6.6915000,149.3024000,1,2.84,,6,4,4,9,73,Chuuk,259,2064,451,
Puluwat,Carolines,no,7.3592000,149.1893000,5,3.4,,6,1,6,13,33,Chuuk,259,2126,1015,2420
Qelelevu,Fiji,yes,-16.1070000,-179.2810000,3,1.96,,7,5,11,18,35,Vanua_Levu,73,3055,0,2990
Rakahanga,Eastern_Polynesia,yes,-10.0165000,-161.0896000,11,4,,0,0,0,1,40,Samoa,1131,5121,83,
Rangiroa,Eastern_Polynesia,yes,-15.1224461,-147.5462090,415,79,,0,0,2,4,13,Tahiti,323,6193,2567,1752
Raraka,Eastern_Polynesia,yes,-16.1764000,-144.8953000,118,14,,0,0,0,2,30,Tahiti,483,6410,110,
Raroia,Eastern_Polynesia,yes,-16.0809000,-142.4241000,184,41,,0,0,0,0,28,Tahiti,752,6659,233,1854
Rasdhoo,Maldives,no,4.2921000,72.9834000,4,0.56,,1,0,0,0,13,Sri_Lanka,811,635,1067,
Ravahere,Eastern_Polynesia,no,-18.2358000,-142.1475,30,7,,0,0,0,0,11,Tahiti,739,6586,0,
Rawaki,Central_Pacific,yes,-3.7217000,-170.7118000,1,0.65,,0,0,0,0,90,Samoa,1089,4640,0,659
Reao,Eastern_Polynesia,yes,-18.5160000,-136.3717,108,9,,0,0,0,0,65,Mangareva,526,7135,351,
Redlick,East_Papua,no,-10.8735000,152.5466000,6,0.22,,3,0,1,2,67,Misima,24,904,0,
Reitoru,Eastern_Polynesia,yes,-17.8555000,-143.0744,6,1.39,,1,0,0,0,51,Tahiti,640,6514,0,1560
Rekareka,Eastern_Polynesia,no,-16.8340000,-141.9218000,3,3.31,,0,0,0,0,71,Tahiti,772,6672,0,
Ringgold,Fiji,no,-16.7177000,-179.4503000,3,0.23,,6,7,11,19,35,Vanua_Levu,68,3024,2990,
Rongelap,Marshalls,yes,11.1629026,166.8943033,61,21,,4,1,3,4,27,Kosrae,778,3626,79,1651
Rongerik,Marshalls,yes,11.3560000,167.4482000,22,1.68,,5,1,3,3,42,Kosrae,821,3682,0,
Rose,Central_Pacific,yes,-14.5424865,-168.1637445,2,0.05,,3,0,5,9,553,Luma,140,4217,0,2541
Rowa,East_Papua,no,-13.6239000,167.5185000,15,2,,9,0,5,15,682,Vanua_Lava,12,2028,0,
Saloman,Western_Indian_Ocean,yes,-5.3303000,72.2460000,11,3.56,,1,0,0,0,29,Sri_Lanka,1534,1590,0,
Sama,East_Papua,no,-1.4032000,144.0808000,4,0.73,,0,0,0,0,9,Manus,282,1042,0,
Sapwuahfik,Carolines,yes,5.8161306,157.2477972,10,1.5,,2,0,0,4,124,Pohnpei,144,2451,433,4000
